"ADM_RATE","CONTROL","net_cost","income_group"
0.9881,"Private",NA,"Q1"
0.6365,"Private",NA,"Q1"
0.5234,"Private",NA,"Q1"
0.5613,"Public",17122,"Q1"
0.1532,"Private",NA,"Q1"
0.5981,"Public",14784,"Q1"
0.8196,"Private",NA,"Q1"
0.8859,"Private",NA,"Q1"
0.21,"Private",NA,"Q1"
0.7878,"Private",NA,"Q1"
0.5997,"Private",NA,"Q1"
0.5141,"Private",NA,"Q1"
0.5054,"Private",NA,"Q1"
0.5977,"Public",7173,"Q1"
0.5455,"Private",NA,"Q1"
0.7887,"Public",12591,"Q1"
0.8419,"Public",12357,"Q1"
0.9022,"Private",NA,"Q1"
0.9372,"Private",NA,"Q1"
0.374,"Private",NA,"Q1"
0.5931,"Public",14583,"Q1"
0.6871,"Private",NA,"Q1"
0.5545,"Private",NA,"Q1"
0.6054,"Public",9178,"Q1"
0.7158,"Private",NA,"Q1"
0.661,"Private",NA,"Q1"
0.6121,"Private",NA,"Q1"
0.637,"Private",NA,"Q1"
0.8409,"Private",NA,"Q1"
0.6002,"Private",NA,"Q1"
0.7884,"Private",NA,"Q1"
0.9732,"Private",NA,"Q1"
0.8309,"Public",14323,"Q1"
0.6958,"Public",9684,"Q1"
0.8443,"Private",NA,"Q1"
0.7225,"Private",NA,"Q1"
0.6934,"Public",9434,"Q1"
0.8306,"Public",8220,"Q1"
0.7355,"Public",7144,"Q1"
0.7003,"Public",8129,"Q1"
0.7217,"Public",4632,"Q1"
0.7625,"Public",10220,"Q1"
0.7945,"Public",8102,"Q1"
0.5381,"Public",5045,"Q1"
0.8889,"Public",18355,"Q1"
0.7116,"Private",NA,"Q1"
0.5795,"Private",NA,"Q1"
0.9515,"Private",NA,"Q1"
0.223,"Private",NA,"Q1"
0.7285,"Private",NA,"Q1"
0.6063,"Public",8924,"Q1"
0.7218,"Public",6396,"Q1"
0.5622,"Private",NA,"Q1"
0.5362,"Private",NA,"Q1"
0.8568,"Private",NA,"Q1"
0.4762,"Private",NA,"Q1"
0.876,"Private",NA,"Q1"
0.7157,"Private",NA,"Q1"
0.7969,"Private",NA,"Q1"
0.5,"Private",NA,"Q1"
0.6887,"Private",NA,"Q1"
0.6955,"Private",NA,"Q1"
0.658,"Private",NA,"Q1"
0.7752,"Private",NA,"Q1"
0.6171,"Private",NA,"Q1"
0.6411,"Private",NA,"Q1"
0.7542,"Private",NA,"Q1"
0.6595,"Private",NA,"Q1"
0.7742,"Private",NA,"Q1"
0.6693,"Private",NA,"Q1"
0.5018,"Private",NA,"Q1"
0.9542,"Private",NA,"Q1"
0.3506,"Private",NA,"Q1"
0.3846,"Private",NA,"Q1"
0.8252,"Public",8653,"Q1"
0.8023,"Public",11351,"Q1"
0.6903,"Private",NA,"Q1"
0.7212,"Private",NA,"Q1"
0.785,"Private",NA,"Q1"
0.5337,"Private",NA,"Q1"
0.6845,"Private",NA,"Q1"
0.8331,"Public",9891,"Q1"
0.7609,"Private",NA,"Q1"
0.6,"Private",NA,"Q1"
0.9617,"Private",NA,"Q1"
0.8802,"Private",NA,"Q1"
0.5818,"Private",NA,"Q1"
0.7765,"Private",NA,"Q1"
0.5766,"Private",NA,"Q1"
0.869,"Private",NA,"Q1"
0.6057,"Private",NA,"Q1"
0.6069,"Public",10007,"Q1"
0.8917,"Public",8488,"Q1"
0.5285,"Private",NA,"Q1"
0.5862,"Private",NA,"Q1"
0.9228,"Public",13943,"Q1"
0.4472,"Private",NA,"Q1"
0.9591,"Public",13078,"Q1"
0.7923,"Public",11194,"Q1"
0.5988,"Private",NA,"Q1"
0.7223,"Private",NA,"Q1"
0.7898,"Public",9279,"Q1"
0.9576,"Public",13336,"Q1"
0.6573,"Private",NA,"Q1"
0.9478,"Private",NA,"Q1"
0.3401,"Private",NA,"Q1"
0.6844,"Private",NA,"Q1"
0.6857,"Private",NA,"Q1"
0.7127,"Private",NA,"Q1"
0.6002,"Public",8119,"Q1"
0.8219,"Private",NA,"Q1"
0.5075,"Private",NA,"Q1"
0.3774,"Public",10939,"Q1"
0.6861,"Public",9743,"Q1"
0.7112,"Public",9908,"Q1"
0.7031,"Private",NA,"Q1"
0.5381,"Private",NA,"Q1"
0.8449,"Public",8774,"Q1"
0.8217,"Public",7381,"Q1"
0.467,"Public",4689,"Q1"
0.8108,"Private",NA,"Q1"
0.8775,"Private",NA,"Q1"
0.9615,"Private",NA,"Q1"
0.7416,"Private",NA,"Q1"
0.9232,"Public",10350,"Q1"
0.4363,"Public",13814,"Q1"
0.6074,"Public",11579,"Q1"
0.7623,"Public",5049,"Q1"
0.8349,"Public",6097,"Q1"
0.7423,"Private",NA,"Q1"
0.6744,"Public",7027,"Q1"
0.8707,"Private",NA,"Q1"
0.6151,"Public",6453,"Q1"
0.5036,"Public",7222,"Q1"
0.8694,"Public",7770,"Q1"
0.7724,"Public",6404,"Q1"
0.84,"Public",6605,"Q1"
0.6615,"Private",NA,"Q1"
0.448,"Public",7318,"Q1"
0.359,"Public",14078,"Q1"
0.4888,"Public",8474,"Q1"
0.593,"Public",6525,"Q1"
0.2643,"Private",NA,"Q1"
0.5443,"Private",NA,"Q1"
0.2417,"Private",NA,"Q1"
0.1495,"Private",NA,"Q1"
0.2604,"Private",NA,"Q1"
0.6639,"Public",6963,"Q1"
0.7989,"Private",NA,"Q1"
0.837,"Public",11305,"Q1"
0.8106,"Public",12921,"Q1"
0.8584,"Private",NA,"Q1"
0.681,"Public",10494,"Q1"
0.9625,"Private",NA,"Q1"
0.7778,"Private",NA,"Q1"
0.828,"Public",14414,"Q1"
0.7295,"Public",13639,"Q1"
0.5176,"Public",8581,"Q1"
0.5903,"Private",NA,"Q1"
0.355,"Public",10206,"Q1"
0.5945,"Public",13962,"Q1"
0.7173,"Private",NA,"Q1"
0.8102,"Private",NA,"Q1"
0.1813,"Private",NA,"Q1"
0.58,"Private",NA,"Q1"
0.6315,"Public",13285,"Q1"
0.4699,"Public",7901,"Q1"
0.5803,"Private",NA,"Q1"
0.5502,"Public",10682,"Q1"
0.5757,"Public",11741,"Q1"
0.6741,"Private",NA,"Q1"
0.8154,"Private",NA,"Q1"
0.4964,"Private",NA,"Q1"
0.5494,"Public",11363,"Q1"
0.7204,"Public",7806,"Q1"
0.6034,"Public",9455,"Q1"
0.5959,"Private",NA,"Q1"
0.6655,"Private",NA,"Q1"
0.7587,"Private",NA,"Q1"
0.6779,"Private",NA,"Q1"
0.1428,"Private",NA,"Q1"
0.7756,"Private",NA,"Q1"
0.5098,"Public",15976,"Q1"
0.7422,"Private",NA,"Q1"
0.2821,"Private",NA,"Q1"
0.8065,"Private",NA,"Q1"
0.576,"Private",NA,"Q1"
0.6255,"Private",NA,"Q1"
0.4379,"Private",NA,"Q1"
0.3617,"Private",NA,"Q1"
0.3222,"Private",NA,"Q1"
0.3645,"Private",NA,"Q1"
0.4561,"Private",NA,"Q1"
0.3704,"Private",NA,"Q1"
0.786,"Public",14019,"Q1"
0.3953,"Private",NA,"Q1"
0.6154,"Private",NA,"Q1"
0.6692,"Private",NA,"Q1"
0.3433,"Public",13641,"Q1"
0.5579,"Private",NA,"Q1"
0.4798,"Private",NA,"Q1"
0.6049,"Private",NA,"Q1"
0.7165,"Private",NA,"Q1"
0.6273,"Private",NA,"Q1"
0.7211,"Public",8845,"Q1"
0.5167,"Public",12054,"Q1"
0.4133,"Private",NA,"Q1"
0.6369,"Private",NA,"Q1"
0.0584,"Private",NA,"Q1"
0.3297,"Private",NA,"Q1"
0.7614,"Private",NA,"Q1"
0.6749,"Private",NA,"Q1"
0.6397,"Public",9978,"Q1"
0.6294,"Public",12116,"Q1"
0.7141,"Public",7634,"Q1"
0.8921,"Private",NA,"Q1"
0.6982,"Public",15601,"Q1"
0.0815,"Private",NA,"Q1"
0.7726,"Public",7115,"Q1"
0.786,"Private",NA,"Q1"
0.4681,"Private",NA,"Q1"
0.6065,"Private",NA,"Q1"
0.7681,"Private",NA,"Q1"
0.2777,"Private",NA,"Q1"
0.8047,"Private",NA,"Q1"
0.672,"Public",11550,"Q1"
0.3231,"Private",NA,"Q1"
0.7243,"Private",NA,"Q1"
0.6929,"Public",11182,"Q1"
0.4897,"Private",NA,"Q1"
0.4308,"Private",NA,"Q1"
0.6604,"Public",7588,"Q1"
0.6992,"Private",NA,"Q1"
0.7213,"Public",11896,"Q1"
0.7091,"Private",NA,"Q1"
0.825,"Private",NA,"Q1"
0.1884,"Private",NA,"Q1"
0.2911,"Private",NA,"Q1"
0.5761,"Private",NA,"Q1"
0.8151,"Private",NA,"Q1"
0.7487,"Public",11609,"Q1"
0.6737,"Private",NA,"Q1"
0.1702,"Private",NA,"Q1"
0.5159,"Private",NA,"Q1"
0.6062,"Public",10397,"Q1"
0.5628,"Private",NA,"Q1"
0.5639,"Private",NA,"Q1"
0.6791,"Private",NA,"Q1"
0.3751,"Private",NA,"Q1"
0.7135,"Private",NA,"Q1"
0.6975,"Private",NA,"Q1"
0.6304,"Public",10107,"Q1"
0.7263,"Private",NA,"Q1"
0.486,"Private",NA,"Q1"
0.917,"Private",NA,"Q1"
0.6147,"Private",NA,"Q1"
0.6398,"Public",10938,"Q1"
0.759,"Public",9469,"Q1"
0.6159,"Private",NA,"Q1"
0.6807,"Private",NA,"Q1"
0.826,"Public",11159,"Q1"
0.7253,"Private",NA,"Q1"
0.6689,"Private",NA,"Q1"
0.9183,"Public",7064,"Q1"
0.4365,"Private",NA,"Q1"
0.6125,"Private",NA,"Q1"
0.9378,"Private",NA,"Q1"
0.3326,"Public",5529,"Q1"
0.6865,"Public",6293,"Q1"
0.7659,"Public",9204,"Q1"
0.6284,"Public",6386,"Q1"
0.7809,"Public",7952,"Q1"
0.7313,"Public",8984,"Q1"
0.6538,"Private",NA,"Q1"
0.66,"Public",7311,"Q1"
0.5148,"Private",NA,"Q1"
0.7865,"Public",11596,"Q1"
0.6765,"Private",NA,"Q1"
0.6505,"Private",NA,"Q1"
0.7624,"Public",10544,"Q1"
0.8285,"Public",13575,"Q1"
0.6086,"Private",NA,"Q1"
0.6678,"Public",9739,"Q1"
0.9485,"Private",NA,"Q1"
0.2095,"Private",NA,"Q1"
0.7998,"Private",NA,"Q1"
0.5239,"Private",NA,"Q1"
0.6322,"Private",NA,"Q1"
0.6557,"Private",NA,"Q1"
0.3416,"Private",NA,"Q1"
0.6555,"Public",9569,"Q1"
0.4442,"Public",9535,"Q1"
0.6916,"Public",7918,"Q1"
0.5895,"Private",NA,"Q1"
0.2143,"Private",NA,"Q1"
0.7822,"Public",8731,"Q1"
0.5764,"Public",8312,"Q1"
0.8911,"Public",10247,"Q1"
0.9521,"Private",NA,"Q1"
0.6915,"Private",NA,"Q1"
0.5873,"Private",NA,"Q1"
0.7554,"Private",NA,"Q1"
0.8691,"Public",10547,"Q1"
0.7516,"Private",NA,"Q1"
0.7485,"Private",NA,"Q1"
0.5919,"Private",NA,"Q1"
0.7265,"Private",NA,"Q1"
0.8617,"Private",NA,"Q1"
0.6089,"Private",NA,"Q1"
0.6546,"Public",11075,"Q1"
0.7243,"Private",NA,"Q1"
0.6075,"Public",12048,"Q1"
0.8291,"Public",13419,"Q1"
0.4842,"Private",NA,"Q1"
0.8941,"Public",12639,"Q1"
0.6464,"Public",12846,"Q1"
0.4745,"Private",NA,"Q1"
0.5936,"Public",10647,"Q1"
0.4349,"Public",8970,"Q1"
0.2272,"Public",10105,"Q1"
0.673,"Private",NA,"Q1"
0.6482,"Public",14153,"Q1"
0.8566,"Public",144,"Q1"
0.6631,"Public",11555,"Q1"
0.4877,"Private",NA,"Q1"
0.6108,"Private",NA,"Q1"
0.8975,"Private",NA,"Q1"
0.8696,"Private",NA,"Q1"
0.5838,"Private",NA,"Q1"
0.6506,"Private",NA,"Q1"
0.8083,"Public",11830,"Q1"
0.7143,"Public",13005,"Q1"
0.9524,"Private",NA,"Q1"
0.8095,"Private",NA,"Q1"
0.6425,"Private",NA,"Q1"
0.6524,"Private",NA,"Q1"
0.643,"Private",NA,"Q1"
0.9091,"Private",NA,"Q1"
0.6629,"Private",NA,"Q1"
0.7611,"Private",NA,"Q1"
0.6774,"Private",NA,"Q1"
0.6095,"Private",NA,"Q1"
0.9728,"Public",7949,"Q1"
0.2218,"Private",NA,"Q1"
0.7861,"Public",12731,"Q1"
0.33,"Public",15522,"Q1"
0.8215,"Public",11127,"Q1"
0.7419,"Public",9757,"Q1"
0.7219,"Public",8600,"Q1"
0.7241,"Public",7263,"Q1"
0.1301,"Private",NA,"Q1"
0.9638,"Private",NA,"Q1"
0.7543,"Private",NA,"Q1"
0.5053,"Public",10687,"Q1"
0.6443,"Private",NA,"Q1"
0.9886,"Private",NA,"Q1"
0.9022,"Private",NA,"Q1"
0.6756,"Private",NA,"Q1"
0.8546,"Public",9220,"Q1"
0.851,"Public",11559,"Q1"
0.1555,"Private",NA,"Q1"
0.5806,"Private",NA,"Q1"
0.719,"Private",NA,"Q1"
0.5778,"Private",NA,"Q1"
0.7514,"Private",NA,"Q1"
0.53,"Private",NA,"Q1"
0.8891,"Public",9150,"Q1"
0.8449,"Public",13215,"Q1"
0.9423,"Public",11134,"Q1"
0.6056,"Private",NA,"Q1"
0.7167,"Private",NA,"Q1"
0.7152,"Private",NA,"Q1"
0.7665,"Private",NA,"Q1"
0.7364,"Private",NA,"Q1"
0.8486,"Public",11685,"Q1"
0.3333,"Private",NA,"Q1"
0.7078,"Public",9311,"Q1"
0.7689,"Private",NA,"Q1"
0.6404,"Public",11123,"Q1"
0.8512,"Public",9197,"Q1"
0.8396,"Public",12465,"Q1"
0.8312,"Private",NA,"Q1"
0.0978,"Private",NA,"Q1"
0.8472,"Private",NA,"Q1"
0.8997,"Private",NA,"Q1"
0.7866,"Private",NA,"Q1"
0.7784,"Public",16532,"Q1"
0.8185,"Public",16203,"Q1"
0.7748,"Public",15211,"Q1"
0.8928,"Private",NA,"Q1"
0.7365,"Private",NA,"Q1"
0.2,"Private",NA,"Q1"
0.5464,"Private",NA,"Q1"
0.6408,"Private",NA,"Q1"
0.9094,"Private",NA,"Q1"
0.7743,"Private",NA,"Q1"
0.7341,"Private",NA,"Q1"
0.8819,"Private",NA,"Q1"
0.7774,"Private",NA,"Q1"
0.779,"Private",NA,"Q1"
0.5923,"Public",20837,"Q1"
0.3287,"Private",NA,"Q1"
0.4129,"Public",8561,"Q1"
0.8037,"Public",9979,"Q1"
0.7791,"Private",NA,"Q1"
0.6532,"Public",16701,"Q1"
0.7778,"Private",NA,"Q1"
0.6547,"Public",11384,"Q1"
0.0741,"Private",NA,"Q1"
0.5526,"Public",9199,"Q1"
0.7187,"Private",NA,"Q1"
0.5859,"Public",8296,"Q1"
0.5951,"Public",11659,"Q1"
0.5401,"Public",7286,"Q1"
0.5,"Private",NA,"Q1"
0.5408,"Private",NA,"Q1"
0.7916,"Private",NA,"Q1"
0.4836,"Private",NA,"Q1"
0.3816,"Private",NA,"Q1"
0.6211,"Public",13754,"Q1"
0.4311,"Public",8167,"Q1"
0.6811,"Public",10976,"Q1"
0.6321,"Public",7506,"Q1"
0.4136,"Public",7612,"Q1"
0.6458,"Public",7100,"Q1"
0.852,"Public",8397,"Q1"
0.7706,"Private",NA,"Q1"
0.6814,"Private",NA,"Q1"
0.634,"Private",NA,"Q1"
0.698,"Private",NA,"Q1"
0.1784,"Private",NA,"Q1"
0.2603,"Private",NA,"Q1"
0.5625,"Private",NA,"Q1"
0.9583,"Private",NA,"Q1"
0.3761,"Private",NA,"Q1"
0.2053,"Private",NA,"Q1"
0.7251,"Private",NA,"Q1"
0.7795,"Private",NA,"Q1"
0.931,"Private",NA,"Q1"
0.6403,"Private",NA,"Q1"
0.2638,"Private",NA,"Q1"
0.5487,"Private",NA,"Q1"
0.0742,"Private",NA,"Q1"
0.1556,"Private",NA,"Q1"
0.8967,"Private",NA,"Q1"
0.2483,"Public",5148,"Q1"
0.3198,"Public",3923,"Q1"
0.9975,"Public",5274,"Q1"
0.341,"Public",3537,"Q1"
0.2972,"Public",4698,"Q1"
0.3405,"Public",3470,"Q1"
0.2328,"Public",2668,"Q1"
0.9141,"Public",7186,"Q1"
0.768,"Public",4716,"Q1"
0.3702,"Public",3538,"Q1"
0.351,"Public",4087,"Q1"
0.7908,"Private",NA,"Q1"
0.4864,"Private",NA,"Q1"
0.7189,"Private",NA,"Q1"
0.7828,"Private",NA,"Q1"
0.7978,"Private",NA,"Q1"
0.4484,"Public",7597,"Q1"
0.4713,"Private",NA,"Q1"
0.2719,"Private",NA,"Q1"
0.8424,"Private",NA,"Q1"
0.4944,"Private",NA,"Q1"
0.5871,"Private",NA,"Q1"
0.9108,"Private",NA,"Q1"
0.9212,"Private",NA,"Q1"
0.666,"Private",NA,"Q1"
0.5505,"Private",NA,"Q1"
0.0734,"Private",NA,"Q1"
0.8778,"Private",NA,"Q1"
0.619,"Private",NA,"Q1"
0.869,"Private",NA,"Q1"
0.8067,"Private",NA,"Q1"
0.6617,"Private",NA,"Q1"
0.3431,"Private",NA,"Q1"
0.7674,"Private",NA,"Q1"
0.3745,"Private",NA,"Q1"
0.7463,"Private",NA,"Q1"
0.5429,"Private",NA,"Q1"
0.5724,"Private",NA,"Q1"
0.9167,"Private",NA,"Q1"
0.8,"Private",NA,"Q1"
0.2909,"Public",22751,"Q1"
0.7267,"Private",NA,"Q1"
0.86,"Private",NA,"Q1"
0.731,"Private",NA,"Q1"
0.6839,"Private",NA,"Q1"
0.5695,"Private",NA,"Q1"
0.6659,"Private",NA,"Q1"
0.2605,"Private",NA,"Q1"
0.6633,"Private",NA,"Q1"
0.7407,"Private",NA,"Q1"
0.4675,"Private",NA,"Q1"
0.9671,"Private",NA,"Q1"
0.7683,"Private",NA,"Q1"
0.7523,"Private",NA,"Q1"
0.5859,"Private",NA,"Q1"
0.5572,"Private",NA,"Q1"
0.412,"Private",NA,"Q1"
0.726,"Private",NA,"Q1"
