"YearType","Year","OrganizationGroupCode","OrganizationGroup","DepartmentCode","Department","UnionCode","Union","JobFamilyCode","JobFamily","JobCode","Job","EmployeeIdentifier","Salaries","Overtime","OtherSalaries","TotalSalary","Retirement","HealthDental","OtherBenefits","TotalBenefits","TotalCompensation"
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",790,"SEIU - Miscellaneous, Local 1021","1600","Payroll, Billing & Accounting","1630","Account Clerk",44668,62833.05,0,1488,64321.05,11850.48,13890.5,5289.97,31030.95,95352
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",236,"Carpenters, Local 22","7300","Journeyman Trade","7344","Carpenter",51786,83317.45,288.39,0,83605.84,15358.96,12361.4,6819,34539.36,118145.2
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3264","Camp Assistant",47826,3646.26,29.25,101.56,3777.07,0,1835.99,293.15,2129.14,5906.21
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5211","Eng/Arch/Landscape Arch Sr",26329,502.69,0,0,502.69,91.13,41.8,39.55,172.48,675.17
"Calendar",2016,6,"General Administration & Finance","TTX","Treasurer/Tax Collector",790,"SEIU - Miscellaneous, Local 1021","1600","Payroll, Billing & Accounting","1630","Account Clerk",33296,22773.47,0,0,22773.47,0,6212.14,1877.39,8089.53,30863
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","1600","Payroll, Billing & Accounting","1634","Principal Account Clerk",44447,11988,0,0,11988,2230.96,2057.85,998.41,5287.22,17275.22
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",21264,74207.13,24546.65,4325.22,103079,17783.3,14944.56,8054.6,40782.46,143861.46
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",27624,70843.28,16011.12,845.6,87700,16236.41,14269.79,6669.88,37176.08,124876.08
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",252,"Transport Workers - Auto Svc Workers, Local 250-A","7400","Skilled Labor","7410","Automotive Service Worker",32611,71111.8,8121.2,14571.31,93804.31,14935.12,13890.5,7414.74,36240.36,130044.67
"Calendar",2016,6,"General Administration & Finance","CAT","City Attorney",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1460","Legal Secretary 2",5398,6706.01,0,1627.17,8333.18,1256.92,1028.92,683.76,2969.6,11302.78
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3300","Park & Zoo","3302","Admission Attendant",36553,18234.91,0,726.28,18961.19,0,5921.15,1471.82,7392.97,26354.16
"Calendar",2016,1,"Public Protection","CRT","Superior Court",121,"Prof & Tech Engineers - Court Attorneys, Local 21","SCRT","SF Superior Court","312C","Court Staff Attorney II",5882,127951.82,0,648,128599.82,23074.52,13890.5,10149.8,47114.82,175714.64
"Calendar",2016,3,"Human Welfare & Neighborhood Development","CHF","Children, Youth & Their Families",790,"SEIU - Miscellaneous, Local 1021","9700","Community Development","9774","Sr Community Devl Spc 1",28643,47003.62,0,1935.78,48939.4,8732.58,7202.48,3834.29,19769.35,68708.75
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2700","Housekeeping & Laundry","2736","Porter",19804,61166.3,1241.63,4432.77,66840.7,11883.07,13890.5,5470.56,31244.13,98084.83
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8201","School Crossing Guard",25063,4819.02,0,0,4819.02,28.79,1833.42,374.03,2236.24,7055.26
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",19004,2453.01,0,3574.99,6028,481.76,565.91,486.66,1534.33,7562.33
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8274","Police Cadet",17232,20228.6,0,0,20228.6,3006.34,6765.18,1618.67,11390.19,31618.79
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2400","Lab, Pharmacy & Med Techs","2454","Clinical Pharmacist",46655,179857.9,0,715.69,180573.59,32399.62,13890.5,11295.67,57585.79,238159.38
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2900","Human Services","2930","Psychiatric Social Worker",49419,82289.25,0,320,82609.25,15215.46,13543.24,6744.06,35502.76,118112.01
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3208","Pool Lifeguard",18142,3494.23,0,42.91,3537.14,0,1181.65,274.55,1456.2,4993.34
"Calendar",2016,6,"General Administration & Finance","HRD","Human Resources",790,"SEIU - Miscellaneous, Local 1021","1200","Personnel","1204","Senior Personnel Clerk",14026,42192.8,0,680,42872.8,8166.02,8745.87,3494.35,20406.24,63279.04
"Calendar",2016,4,"Community Health","DPH","Public Health",535,"SEIU - Human Services, Local 1021","2900","Human Services","2909","Hospital Elig Wrk Supervisor",42174,101780.37,143.85,1080,103004.22,18949.56,13877.64,8510.58,41337.78,144342
"Calendar",2016,1,"Public Protection","CRT","Superior Court",792,"SEIU - Court Employees, Local 1021","SCRT","SF Superior Court","420C","Deputy Court Clerk II",18776,71057.22,0,587.2,71644.42,13193.51,12586.34,6744.99,32524.84,104169.26
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2300","Nursing","2302","Nursing Assistant",5093,28620,10028.96,4935.7,43584.66,5725.51,5144.63,3442.04,14312.18,57896.84
"Calendar",2016,4,"Community Health","DPH","Public Health",164,"Physicians and Dentists - Miscellaneous","2200","Medical & Dental","2232","Senior Physician Specialist",52509,115054.09,0,17258.24,132312.33,23745.03,6868.08,10246.13,40859.24,173171.57
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",22719,76195.99,10038.45,3438.12,89672.56,18072.24,15356.97,6874.56,40303.77,129976.33
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",26318,53291.91,3523.9,2933.86,59749.67,12689.47,14964.89,4237.97,31892.33,91642
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3279","Recreation Leader",26300,3808.44,0,159.74,3968.18,0,1324.74,308,1632.74,5600.92
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",261,"Laborers, Local 261","3400","Agriculture & Horticulture","3417","Gardener",33413,65385.56,0,3784.72,69170.28,12731.08,12680.8,5604.64,31016.52,100186.8
"Calendar",2016,4,"Community Health","DPH","Public Health",351,"Municipal Executive Association - Miscellaneous","0900","Management","0932","Manager IV",36762,156547.56,0,0,156547.56,28142.19,11832.65,18289.63,58264.47,214812.03
"Calendar",2016,4,"Community Health","DPH","Public Health",351,"Municipal Executive Association - Miscellaneous","0900","Management","0942","Manager VII",49197,201289.07,0,0,201289.07,36108.76,13890.49,19491.03,69490.28,270779.35
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",1,"Miscellaneous Unrepresented Employees","9900","Public Service Aide","9916","Public Svc Aide-Public Works",1912,11958.06,0,335.63,12293.69,0,5249.57,1001.96,6251.53,18545.22
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",11345,68552.92,12569.85,787.51,81910.28,15694.87,13807.48,6078.4,35580.75,117491.03
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1404","Clerk",5250,18140.03,0,0,18140.03,3744.1,5144.64,1293.16,10181.9,28321.93
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2500","Med Therapy & Auxiliary","2583","Home Health Aide",51648,40800.25,13311.22,2376.12,56487.59,8995.99,13761.89,4527.76,27285.64,83773.23
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2900","Human Services","2932","Sr Psychiatric Social Worker",49916,7932,0,0,7932,1446,1028.92,627.7,3102.62,11034.62
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",NA,NA,NA,NA,"3278","Recreation Facility Assistant",34867,777.27,0,37.05,814.32,0,302.25,63.22,365.47,1179.79
"Calendar",2016,6,"General Administration & Finance","CAT","City Attorney",200,"Transportation Workers, Local 200","9100","Street Transit","9155","Claims Investigator",16002,107757.1,34217.9,10294.23,152269.23,20282.65,13890.5,10932.57,45105.72,197374.95
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","8100","Legal & Court","8108","Senior Legal Process Clerk",19346,69789.23,269.37,0,70058.6,12856.94,13890.5,5751.62,32499.06,102557.66
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2500","Med Therapy & Auxiliary","2588","Health Worker 4",5276,85010.81,0,355,85365.81,15726.51,13890.49,7046.41,36663.41,122029.22
"Calendar",2016,4,"Community Health","DPH","Public Health",39,"Stationary Engineers, Local 39","7300","Journeyman Trade","7334","Stationary Engineer",48590,92012.91,12847.64,5670.1,110530.65,17996.74,13890.5,8842.78,40730.02,151260.67
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",48699,923.04,0,0,923.04,0,0,67.5,67.5,990.54
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1824","Pr Administrative Analyst",312,127814.75,0,0,127814.75,22933.17,13890.5,10064.73,46888.4,174703.15
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2100","Hospital Administration","2112","Medical Records Technician",1404,77521.13,0,648,78169.13,14400.84,13890.5,6037.16,34328.5,112497.63
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8306","Senior Deputy Sheriff",25777,113676.03,69223.08,14752.47,197651.58,33168.44,13376.03,521.28,47065.75,244717.33
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1404","Clerk",50255,58548.9,0,848,59396.9,10905.58,13890.5,4644.57,29440.65,88837.55
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","9200","Airport Operation","9209","Community Police Services Aide",25452,73448.71,0,3553.6,77002.31,14178.09,13890.5,6035.72,34104.31,111106.62
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",6,"Electrical Workers, Local 6","7200","Supervisory-Labor & Trade","7276","Electrician Supervisor 2",32417,67206.5,0,24175,91381.5,12184.6,7150.98,7216.52,26552.1,117933.6
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",44558,66633.07,6269.66,717,73619.73,15209.54,13414.42,5392.74,34016.7,107636.43
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",22063,14103.82,0,3279.45,17383.27,3035.17,1852.06,290.67,5177.9,22561.17
"Calendar",2016,2,"Public Works, Transportation & Commerce","DBI","Department of Building Inspection",6,"Electrical Workers, Local 6","6200","Public Safety Inspection","6248","Electrical Inspector",44589,121983.2,687.03,2439.66,125109.89,22324.8,13890.5,10134.07,46349.37,171459.26
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8302","Deputy Sheriff 1",5794,56248.2,1341.84,3028.83,60618.87,10662.03,11318.18,4654,26634.21,87253.08
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters Unit 1, Local 798","H000","Fire Services","H008","EMT Paramedic",9657,9572.36,0,8.25,9580.61,0,1421.21,743.61,2164.82,11745.43
"Calendar",2016,1,"Public Protection","ECD","Department of Emergency Management",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8238","Public Safetycomm Disp",15752,100883.02,50106.29,12549.63,163538.94,20192.42,13826.19,10790.37,44808.98,208347.92
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",790,"SEIU - Miscellaneous, Local 1021","1800","Budget, Admn & Stats Analysis","1840","Junior Management Assistant",22877,74983.47,2324.65,0,77308.12,13810.55,13890.5,6416.81,34117.86,111425.98
"Calendar",2016,1,"Public Protection","SHF","Sheriff",498,"Deputy Sheriffs' Association","8300","Correction & Detention","8304","Deputy Sheriff",18844,106582.7,3589.68,17446.72,127619.1,31221.71,13890.5,2132.63,47244.84,174863.94
"Calendar",2016,4,"Community Health","DPH","Public Health",535,"SEIU - Human Services, Local 1021","2900","Human Services","2903","Eligibility Worker",2149,7962,0,518.1,8480.1,1504.07,1543.39,710.63,3758.09,12238.19
"Calendar",2016,6,"General Administration & Finance","TTX","Treasurer/Tax Collector",790,"SEIU - Miscellaneous, Local 1021","4300","Revenue","4306","Collections Officer",36268,59820.31,0,0,59820.31,11016.28,13376.03,4646.84,29039.15,88859.46
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",48173,112986.39,0,0,112986.39,0,10181.22,8769.55,18950.77,131937.16
"Calendar",2016,3,"Human Welfare & Neighborhood Development","CSS","Child Support Services",790,"SEIU - Miscellaneous, Local 1021","8100","Legal & Court","8158","Child Support Officer II",29072,70837.93,0,587.79,71425.72,13167.27,11634.84,5712.59,30514.7,101940.42
"Calendar",2016,1,"Public Protection","PDR","Public Defender",311,"Municipal Attorneys' Association","8100","Legal & Court","8177","Attorney (Civil/Criminal)",14241,117823.5,0,1500,119323.5,21974.85,13890.5,9661.44,45526.79,164850.29
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2500","Med Therapy & Auxiliary","2586","Health Worker 2",38304,38042.3,0,973.48,39015.78,474.02,9260.33,3143.78,12878.13,51893.91
"Calendar",2016,2,"Public Works, Transportation & Commerce","PUC","PUC Public Utilities Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5211","Eng/Arch/Landscape Arch Sr",17937,169669.04,0,0,169669.04,30442.97,13890.49,11115.87,55449.33,225118.37
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","3200","Recreation","3279","Recreation Leader",26280,9752.26,0,6.11,9758.37,0,2503.19,757.39,3260.58,13018.95
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q004","Police Officer 3",22525,125909.15,42292.95,22734.69,190936.79,22132.77,13890.51,3202.94,39226.22,230163.01
"Calendar",2016,1,"Public Protection","ECD","Department of Emergency Management",21,"Prof & Tech Engineers - Miscellaneous, Local 21","8600","Emergency Services","8603","Emergency Services Coord III",2156,9161.25,0,0,9161.25,0,1125.39,806.88,1932.27,11093.52
"Calendar",2016,6,"General Administration & Finance","CON","Controller",790,"SEIU - Miscellaneous, Local 1021","1800","Budget, Admn & Stats Analysis","1844","Senior Management Assistant",48552,99893.7,0,648,100541.7,18522.42,13890.5,8175.86,40588.78,141130.48
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","2320","Registered Nurse",40039,42741.7,295.72,1883.57,44920.99,7940.28,4037.19,3598.11,15575.58,60496.57
"Calendar",2016,1,"Public Protection","POL","Police",252,"Transport Workers - Auto Svc Workers, Local 250-A","7400","Skilled Labor","7410","Automotive Service Worker",16352,62906.42,4813.64,0,67720.06,11568.01,13376.03,5482.16,30426.2,98146.26
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2300","Nursing","2303","Patient Care Assistant",15479,56930.7,9874.37,2149.3,68954.37,12135.97,13890.49,5511.19,31537.65,100492.02
"Calendar",2016,6,"General Administration & Finance","CPC","City Planning",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5291","Planner 3",16549,100609.47,0,0,100609.47,18566.48,11832.65,8052.91,38452.04,139061.51
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2300","Nursing","2312","Licensed Vocational Nurse",4711,52568.9,0,250,52818.9,9657.04,10803.72,4271.59,24732.35,77551.25
"Calendar",2016,6,"General Administration & Finance","CPC","City Planning",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5276","City Planning Intern",15511,7746.42,0,0,7746.42,0,1983.9,601.25,2585.15,10331.57
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1824","Pr Administrative Analyst",1474,101288.36,0,0,101288.36,18473.91,11541.85,8013.88,38029.64,139318
"Calendar",2016,4,"Community Health","DPH","Public Health",250,"SEIU - Health Workers, Local 1021","2500","Med Therapy & Auxiliary","2583","Home Health Aide",24052,49266.9,16349.38,4876.58,70492.86,10930.3,13864.77,5390.81,30185.88,100678.74
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",1,"Miscellaneous Unrepresented Employees","9900","Public Service Aide","9916","Public Svc Aide-Public Works",40947,11988.74,0,360.52,12349.26,0,5273.25,998.41,6271.66,18620.92
"Calendar",2016,1,"Public Protection","SHF","Sheriff",790,"SEIU - Miscellaneous, Local 1021","8300","Correction & Detention","8300","Sheriff's Cadet",23467,27636.87,3077.67,739.75,31454.29,5840.44,8637.18,2550.21,17027.83,48482.12
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1000","Information Systems","1054","IS Business Analyst-Principal",16302,32515.01,0,0,32515.01,5894.98,3601.24,2651.97,12148.19,44663.2
"Calendar",2016,2,"Public Works, Transportation & Commerce","DPW","General Services Agency - Public Works",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1426","Senior Clerk Typist",30270,66779.91,0,648,67427.91,12422.03,13890.5,5601.65,31914.18,99342.09
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H020","Lieutenant, Fire Suppression",30470,137329.5,6064.29,27265.63,170659.42,28612.88,16822.93,2920.03,48355.84,219015.26
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3602","Library Page",29857,32394.81,0,1045.33,33440.14,7110.03,8257.13,2751.11,18118.27,51558.41
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",2373,119258.61,71445.58,18762.11,209466.3,23425.6,16977.26,3503.9,43906.76,253373.06
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H003","EMT/Paramedic/Firefighter",30095,137818.33,37392.66,17227.32,192438.31,27071.26,16977.28,3245.88,47294.42,239732.73
"Calendar",2016,4,"Community Health","DPH","Public Health",164,"Physicians and Dentists - Miscellaneous","2200","Medical & Dental","2232","Senior Physician Specialist",20783,197202.32,563.81,6465,204231.13,35387.42,11073.81,11272.15,57733.38,261964.51
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q062","Lieutenant 3",15198,166919.23,4150.22,1806.34,172875.79,29290.91,13890.5,2892.66,46074.07,218949.86
"Calendar",2016,1,"Public Protection","POL","Police",911,"Police Officers' Association","Q000","Police Services","Q003","Police Officer 2",12291,19756.59,2781.74,1800.32,24338.65,3630.37,2572.32,399.31,6602,30940.65
